公司,店名,地址,電話,經度,緯度,廁所,ATM,座位區
7-11,學英,新竹市東區學府路37號,(03)5728236,120.977749,24.7946671,0,1,0
7-11,學圓,新竹市東區科學園路54號1樓,(03)6687254,121.010232,24.785498,1,1,1
7-11,篤明,新竹市東區林森路184號,(03)5284791,120.964089,24.799246,1,1,1
7-11,聯發D,新竹市東區力行三路11號,(03)5770495,121.021681,24.77252,0,0,0
7-11,聯發E,新竹市東區篤行路5號,(03)5795231,121.023685,24.768055,0,0,0
7-11,聯發科,新竹市東區篤行一路1號,(03)5679040,121.023813,24.772177,0,0,1
7-11,聯電B,新竹市東區力行二路3號B1,(03)6686453,121.019185,24.768972,0,0,0
7-11,聯電E,新竹市東區力行路17號7樓,(03)5797804,121.024529,24.765735,0,0,0
7-11,聯電F,新竹市東區力行六路3號B1樓,(03)5794222,121.015608,24.773697,0,0,0
7-11,聯電T,新竹市東區力行二路3號7樓,(03)5778530,121.019247,24.770377,0,0,0
7-11,鴻川谷,新竹市東區埔頂二路101號,(03)5798219,121.011772,24.791668,1,1,1
7-11,藍海,新竹市東區關新路21號1樓,(03)5679182,121.018121,24.784427,0,1,1
7-11,雙民,新竹市東區民族路205號1樓,(03)5347583,120.980137,24.809832,1,1,1
7-11,關東,新竹市東區金山里光復路一段187、189號1樓,(03)5782975,121.02191,24.781612,1,1,1
7-11,關圓,新竹市東區關東路56號1樓,(03)5788214,121.023008,24.783388,1,1,1
7-11,關新,新竹市東區關新路179號1樓,(03)5782449,121.01919,24.787194,1,1,1
7-11,寶食,新竹市東區新光里1鄰食品路389號1樓,(03)5626647,120.969166,24.793696,1,1,0
7-11,寶捷,新竹市東區田美三街35號,(03)5340151,120.9766,24.815754,0,1,1
7-11,寶豐,新竹市東區高峰路536巷58號之1,(03)5294018,120.988136,24.76835,1,1,1
7-11,耀明,新竹市東區南大路521號1樓,(03)5622948,120.965118,24.794523,0,1,1
7-11,鑫八廠,新竹市東區力行路25號2樓,(03)6668578,121.019352,24.762729,0,0,1
7-11,鑫旭升,新竹市東區東南街98號1樓,(03)5619048,120.973648,24.7981601,1,1,1
7-11,鑫昌,新竹市東區文昌街34、36號一樓,(03)5245194,120.968864,24.803407,0,1,0
7-11,大潤,新竹市北區湳雅里22鄰湳雅街46號,(03)5359394,120.970904,24.8179991,0,1,1
7-11,水擇,新竹市北區水田里中正路194號,(03)5210801,120.965954,24.810247,1,1,1
7-11,世達,新竹市北區延平路一段159號1樓,(03)5268728,120.956522,24.8044851,0,1,1
7-11,北大門,新竹市北區北門街96號1樓,(03)5259596,120.965836,24.806914,0,1,0
7-11,正國,新竹市北區中正路286之1號一樓,(03)5436459,120.96404,24.812754,0,1,0
7-11,正御,新竹市北區中正路309號1+B1樓,(03)5430369,120.962799,24.813974,0,1,1
7-11,民富,新竹市北區新民里西大路642號,(03)5262998,120.961232,24.807812,0,1,1
7-11,竹光,新竹市北區文雅里18鄰竹光路123號,(03)5323204,120.959202,24.8128931,0,1,1
7-11,竹城,新竹市北區西門里中山路100號,(03)5250326,120.965323,24.804597,0,1,0
7-11,竹清,新竹市北區中清路一段110號,(03)5366392,120.932978,24.836745,1,1,1
7-11,竹陵,新竹市北區東大路二段174號,(03)5153239,120.965989,24.815809,1,1,1
7-11,竹森,新竹市北區光華東街105.107號,(03)5424164,120.974746,24.817732,1,1,1
7-11,竹灣,新竹市北區客雅里延平路一段252號1樓,(03)5263560,120.952978,24.805119,0,1,1
7-11,宏光,新竹市北區光華一街29號1樓,(03)5317661,120.973214,24.8163621,0,1,1
7-11,育英,新竹市北區育英里15鄰四維路53號1樓.西門街212號1樓,(03)5231551,120.961174,24.800268,1,1,1
7-11,東中,新竹市北區東門街194號1+B1樓,(03)5212078,120.966879,24.80452,0,1,1
7-11,東延,新竹市北區延平路三段590號1樓,(03)5365573,120.935998,24.840034,1,1,0
7-11,東竺,新竹市北區竹光路498號,(03)5264611,120.951165,24.805496,1,1,1
7-11,武陵,新竹市北區武陵路63號1樓,(03)5409439,120.965229,24.818025,0,1,1
7-11,空軍,新竹市北區中正路385號387號1樓,(03)5430162,120.961016,24.8154841,1,1,1
7-11,金采,新竹市北區金雅路62號,(03)5426032,120.964139,24.824235,1,1,1
7-11,金雅,新竹市北區金雅路165號,(03)5426331,120.967258,24.826918,1,1,1
7-11,冠亨,新竹市北區南寮里東大路四段123號,(03)5361884,120.931862,24.843396,1,1,1
7-11,冠盈,新竹市北區西濱路一段286號,(03)5364694,120.929319,24.835554,1,1,1
7-11,南寮東大,新竹市北區東大路三段502、504號1樓,(03)5364237,120.942483,24.837408,1,1,1
7-11,厚稼,新竹市北區鐵道路二段280號,(03)5425780,120.968709,24.823239,1,1,1
7-11,城北,新竹市北區城北街43號,(03)5239470,120.96401,24.8098,0,1,1
7-11,恆新,新竹市北區民富里7鄰北大路342號,(03)5242900,120.961673,24.805879,0,1,0
7-11,星翔,新竹市北區經國路二段346、348號1樓,(03)5224473,120.958126,24.808059,0,1,1
7-11,海寶,新竹市北區海濱里榮濱路1號,(03)5367934,120.929578,24.840047,1,1,1
7-11,添功,新竹市北區中山路436號,(03)5233393,120.957522,24.799788,1,1,1
7-11,盛天,新竹市北區延平路三段545號,(03)5369457,120.933544,24.839086,1,1,1
7-11,勝威,新竹市北區天府路一段166號,(03)5364828,120.94235,24.835033,1,1,1
7-11,欽天,新竹市北區成德路123號,(03)5235596,120.958456,24.794162,1,1,1
7-11,雅新,新竹市北區湳雅街154號1樓,(03)5319675,120.973976,24.820519,0,1,1
7-11,菄大,新竹市北區東大路四段258.260號1樓,(03)5360700,120.929197,24.844966,1,1,1
7-11,新世界,新竹市北區中正路121號,(03)5242975,120.967456,24.8078751,0,1,1
7-11,新竹大遠百,新竹市北區西門街111號,(03)5278562,120.96371,24.8016,0,1,0
7-11,新竹金竹,新竹市北區金竹路121號1樓及地下層,(03)5153487,120.972544,24.823688,1,1,1
7-11,新竹金農,新竹市北區金農路2號,(03)5429700,120.964064,24.822149,1,1,1
7-11,新竹樹林頭,新竹市北區士林里東大路二段618號,(03)5429250,120.958669,24.822753,1,1,1
7-11,新悅,新竹市北區經國路二段188號190號1樓,(03)5428767,120.962125,24.810626,1,1,1
7-11,新雅竹,新竹市北區湳雅街255號,(03)5456467,120.975549,24.822008,1,1,1
7-11,聖華,新竹市北區西濱路一段399號,(03)5363894,120.932362,24.840943,1,1,1
7-11,聖濱,新竹市北區聖軍路45號,(03)5369065,120.928924,24.841876,1,1,0
7-11,福盛,新竹市北區鐵道路三段2號1樓,(03)5327718,120.961176,24.819778,1,1,1
7-11,磐石,新竹市北區西大路740號1樓,(03)5338457,120.959026,24.810082,1,1,1
7-11,佳香,新竹市香山區中華路六段六十之一、六十之二號1樓,(03)5182254,120.908522,24.750915,1,1,1
7-11,東君,新竹市香山區東華路14號1樓,(03)5305077,120.945511,24.794349,1,1,1
7-11,東香,新竹市香山區頂埔路2號,(03)5402700,120.951515,24.796505,1,1,1
7-11,東珈,新竹市香山區中華路五段156號,(03)5385031,120.921748,24.785624,1,1,1
7-11,東埔,新竹市香山區牛埔路146號,(03)5399314,120.95235,24.7997471,0,1,1
7-11,松邑,新竹市香山區牛埔南路2號,(03)5304086,120.942454,24.792701,1,1,1
7-11,岦湖,新竹市香山區內湖路138號1樓,(03)5182449,120.90594,24.741275,1,1,1
7-11,香山,新竹市香山區牛埔路447號,(03)5300114,120.941075,24.796101,1,1,1
7-11,香江,新竹市香山區中華路六段428.430號,(03)5181847,120.912598,24.735055,1,1,1
7-11,香圃,新竹市香山區牛埔東路253號1樓,(03)5305337,120.943858,24.7960891,0,1,1
7-11,展旺,新竹市香山區延平路二段1277號,(03)5387822,120.928682,24.815973,1,1,1
7-11,海天,新竹市香山區海埔路136號,(03)5364888,120.924936,24.818861,1,1,1
7-11,祥園,新竹市香山區牛埔北路50號,(03)5402722,120.941793,24.798367,0,1,1
7-11,頂福,新竹市香山區中山路622號626號,(03)5388361,120.954663,24.796088,1,1,1
7-11,華耀,新竹市香山區明德路1號1樓,(03)5378614,120.952193,24.756626,0,1,0
7-11,華鑫,新竹市香山區五福路二段725、727、729號1樓,(03)5182741,120.952711,24.756455,1,1,1
7-11,隆華,新竹市香山區中華路五段193號1樓,(03)5398995,120.92441,24.786277,1,1,1
7-11,新竹延平,新竹市香山區延平路二段82號84號,(03)5401035,120.940207,24.80529,0,1,1
7-11,新豪康,新竹市香山區元培街371號1樓,(03)5398534,120.943623,24.776569,1,1,1
7-11,福大,新竹市香山區茄苳里五福路二段728號,(03)5182948,120.951427,24.757263,1,1,1
7-11,豪順,新竹市香山區香山里瑞光街23號,(03)5386259,120.926971,24.792249,1,1,1
7-11,豪運,新竹市香山區香北路181號183號,(03)5398840,120.926143,24.790802,0,1,1
7-11,璟觀,新竹市香山區東香里景觀大道830號,(03)5297705,120.958163,24.760257,0,1,1
7-11,鍾愛,新竹市香山區中隘里中華路六段697.699號1、2樓及701號1樓,(03)5181892,120.917506,24.728603,1,1,1
7-11,鎵華,新竹市香山區中華路六段131.133.135號1樓,(03)5183412,120.907239,24.747479,1,1,1
7-11,鑫大庄,新竹市香山區香山里大庄路75、77號1樓,(03)5401797,120.927701,24.789953,1,1,1
全家,新竹東園,新竹市東區八德路３５號,03-5621071,120.982498,24.805494,0,1,0
全家,新竹力積一,新竹市東區力行一路１２號５樓,03-5670121,121.016064,24.76968,0,0,0
全家,新竹力積二,新竹市東區力行一路１８號４樓,03-5670122,121.0160592538,24.7696672414,0,0,0
全家,新竹元太二,新竹市東區力行一路３號１樓,03-5788300,121.018142,24.768837,0,0,0
全家,新竹元太,新竹市東區力行一路３號Ｂ１員工餐廳,03-5779271,121.018142,24.768837,0,0,0
全家,新竹世界,新竹市東區力行二路１－１號,03-,121.020385,24.773077,0,0,0
全家,新竹新日光,新竹市東區力行三路７號１樓（科學園區）,03-5794586,121.02154,24.76982,0,0,0
全家,新竹頎邦二,新竹市東區力行五路３號２樓（新竹科學園區）,03-5678788,121.020036,24.764226,0,0,0
全家,新竹啟碁,新竹市東區力行六路５號Ｂ１樓,03-5777903,121.014155,24.77118,0,0,0
全家,新竹旺宏,新竹市東區科學園區力行路１６號,03-5631811,121.023583,24.766896,0,0,0
全家,新竹晶電,新竹市東區科學園區力行路２１號３樓,03-5797849,121.024197,24.763591,0,0,0
全家,新竹旺宏三,新竹市東區力行路１９號１樓（新竹科學園區）,03-5771386,121.024669,24.764569,0,0,0
全家,新竹大同,新竹市東區成功里大同路１６號１８號一樓,03-5277520,120.9699134,24.8031154,1,1,1
全家,新竹庄頭,新竹市香山區大庄路１７號,03-5400020,120.928457,24.789043,1,0,1
全家,新竹交大,新竹市東區光明里大學路１００１之２號一樓,03-5739817,120.998209,24.786842,0,0,1
全家,新竹科館,新竹市東區工業東二路１號１樓,03-5678869,121.005634,24.779803,0,0,1
全家,新竹金福,新竹市香山區中山路６４０巷１７０號１樓,03-5303020,120.951489,24.795464,1,0,1
全家,新竹巨城,新竹市東區中央路２２９號Ｂ１,03-5319068,120.974938,24.80968,0,0,1
全家,新竹金站,新竹市東區中正路１００號地下室、１－２樓,03-5281022,120.969608,24.805553,1,0,1
全家,新竹水田,新竹市北區中正路２４０號１樓,03-5222149,120.965147,24.811327,0,0,1
全家,新竹成功,新竹市北區中正路４８１號１樓,03-5437120,120.958371,24.81596,0,0,0
全家,新竹經華,新竹市東區中華路一段１０１號,03-5341261,120.993888,24.816197,1,0,1
全家,新竹台鐵,新竹市東區中華路２段４４５號１樓,03-5281221,120.971585,24.801609,0,0,0
全家,新竹金高,新竹市東區中華路２段１號,03-5425585,120.983509,24.809307,0,0,0
全家,新竹新四維,新竹市東區中華路三段８號１、２樓,03-5247191,120.963152,24.797285,0,0,1
全家,新竹香山,新竹市香山區中華路五段６７８號１樓,03-5378583,120.91529,24.76717,1,0,1
全家,新竹中隘,新竹市香山區中華路六段６６７號、６６９號１樓,03-5181480,120.916087,24.731472,1,1,1
全家,新竹台玻,新竹市香山區中華路４段４７０號,03-5384820,120.937431,24.791146,0,0,0
全家,新竹中華,新竹市香山區五福路二段７７６、７７８號,03-5183072,120.952327,24.756909,0,0,1
全家,新竹元村,新竹市香山區元培街１９７＆１９９號１樓,03-5303904,120.9330019907,24.7827715046,0,0,1
全家,新竹內湖,新竹市香山區內湖路３９號,03-5370610,120.905997,24.744182,1,0,1
全家,新竹建美,新竹市東區公道五路二段２７１號１樓,03-5165610,120.9979856731,24.802475372,0,1,1
全家,新竹新德安,新竹市東區公道五路二段８９號１樓,03-5716350,121.006735,24.798144,0,1,0
全家,新竹金肥,新竹市東區公道五路３段１號１樓（編號：Ｂ－３）,03-5751082,120.992407,24.805405,0,1,0
全家,新竹海上花,新竹市北區天府路２段１號,03-5360607,120.9308454129,24.8394229263,0,0,0
全家,新竹新光田,新竹市北區水田街１５２號,03-5359721,120.967763,24.815332,0,0,0
全家,新竹東埔,新竹市香山區牛埔東路１９６號１樓,03-5401779,120.945214,24.796782,0,0,1
全家,新竹新民,新竹市北區北大路２５２號,03-5241565,120.964396,24.807609,0,1,0
全家,新竹北門,新竹市北區北門街５８號１樓,03-5223097,120.966123,24.806284,0,1,0
全家,新竹民樂,新竹市東區民生路２５２號１樓,03-5359133,120.97534,24.812541,1,0,1
全家,新竹民族,新竹市東區三民里民族路１３９號一樓,03-5330300,120.97842,24.80878,0,0,1
全家,新竹新美,新竹市北區田美三街４７號,03-5421870,120.97671,24.816377,1,0,1
全家,新竹慈雲,新竹市東區立鵬路１０１號,03-5771028,121.0108465206,24.7912896065,0,0,1
全家,新竹關東,新竹市東區光復路一段５２７號１樓、５２７之１號１樓,03-6686002,121.013334,24.784768,0,0,0
全家,新竹大贏,新竹市東區光復路１段３６５號１樓,03-6686798,121.017401,24.78322,0,1,0
全家,清大金大,新竹市東區光復路二段１０１號（綜四館）,03-5740218,120.996866,24.796367,0,0,0
全家,清大新水木,新竹市東區光復路二段１０１號（水木生活中心）,03-5716083,120.996866,24.796367,0,0,0
全家,新竹光華,新竹市北區光華北街６３號,03-5427691,120.9720608,24.8175234,0,0,1
全家,新竹金韻,新竹市北區光華東街５１號１樓,03-5425786,120.974702,24.816481,0,0,0
全家,新竹竹科,新竹市東區科學工業園區竹村七路７號１樓,03-5770320,121.0106361004,24.7787514655,1,0,1
全家,新竹竹蓮,新竹市東區竹蓮街１０４號１樓,03-5620023,120.969863,24.798986,0,0,1
全家,新竹馨天地,新竹市東區自由路９７號１樓,03-5421398,120.980146,24.813695,0,0,0
全家,新竹磐石,新竹市北區西大路５８５號,03-5278809,120.959554,24.80951,0,0,0
全家,新竹大竹,新竹市北區西大路８４８號,03-5326698,120.956426,24.811487,1,1,1
全家,新竹大富,新竹市北區西大路５２７號,03-5240080,120.9620104493,24.8064817504,1,0,1
全家,新竹遠百,新竹市北區西門街１０１號１、２樓,03-5213733,120.963895,24.801708,1,1,1
全家,新竹師專,新竹市北區西門街２０３號１樓,03-5245011,120.961653,24.800242,0,0,1
全家,新竹新西大,新竹市東區西門街４１號１樓,03-5277829,120.965646,24.802826,0,0,0
全家,新竹濱海,新竹市香山區西濱路二段６０１號,03-5400409,120.9224103,24.813046,1,0,1
全家,新竹勝利,新竹市北區育英路１號,03-5237797,120.9603666,24.7969804,0,0,0
全家,新竹金礦,新竹市北區延平路一段１１５號,03-5264371,120.957916,24.803948,0,0,0
全家,新竹金鵬,新竹市北區延平路一段３８８號１樓,03-5229126,120.949157,24.805177,1,0,1
全家,新竹延平,新竹市香山區延平路二段７２７巷１號,03-5380450,120.921396,24.806549,0,0,1
全家,新竹富美二,新竹市香山區延平路２段１７１號１樓,03-5301982,120.938135,24.805253,0,0,0
全家,新竹富美,新竹市北區延平路３段６６９號１樓,03-5360918,120.93604,24.840355,0,0,0
全家,新竹金湖,新竹市東區明湖路３９９號１樓,03-5290960,120.967483,24.782778,0,0,0
全家,新竹向陽,新竹市東區明湖路６４６號,03-5208093,120.966912,24.775025,1,1,1
全家,新竹園林,新竹市東區東大路一段１６號,03-5626841,120.97692,24.801745,0,0,0
全家,新竹高富,新竹市北區東大路３段４２８號１樓,03-5367975,120.944139,24.836282,0,1,0
全家,新竹漁港,新竹市北區東大路四段２６９號１樓,03-5364060,120.92824,24.845274,0,0,1
全家,新竹金南門,新竹市東區林森路１１６號１樓,03-5223580,120.966065,24.800315,0,0,0
全家,新竹武東,新竹市北區武陵路７１號１樓,03-5409154,120.965923,24.818238,0,0,1
全家,新竹天群,新竹市北區武陵路３６－１號１、２樓,03-5322090,120.963481,24.816338,1,0,1
全家,新竹新武陵,新竹市北區武陵路２６７號１樓,03-5426961,120.970855,24.824257,1,0,1
全家,新竹鐵道,新竹市北區武陵路２６８號１樓,03-5339257,120.970459,24.822483,1,0,1
全家,新竹荷蘭村,新竹市北區武陵路１７５巷２號１樓,03-5451966,120.968108,24.821611,1,0,1
全家,新竹金元寶,新竹市東區金山九街６８號１樓,03-5794484,121.0207917679,24.7771892454,1,1,1
全家,新竹集福,新竹市東區金山十一街４１號１樓,03-5789522,121.0218335255,24.7762767518,0,0,0
全家,新竹新金科,新竹市東區金山街１９７號,03-5777330,121.026787,24.775581,0,0,0
全家,新竹十一街,新竹市東區金山街６３號１樓部份,03-5799553,121.022121,24.777886,0,1,1
全家,新竹金竹,新竹市北區金竹路１１５號１樓,03-5327930,120.97275,24.823589,1,1,1
全家,新竹將軍,新竹市東區金城一路５０號１樓,03-5752190,121.003391,24.794413,0,1,0
全家,新竹得美,新竹市東區南大路２５６號１樓,03-5610687,120.972693,24.799603,1,0,0
全家,新竹師苑,新竹市東區振興里南大路６３６號，６３８號一樓,03-5618432,120.962725,24.793136,1,0,1
全家,新竹新興,新竹市東區光鎮里南大路５７７號一樓,03-5629557,120.966682,24.788951,1,0,1
全家,新竹建源,新竹市東區建中一路６０號１樓,03-5748788,120.992784,24.801528,0,0,1
全家,新竹公學,新竹市東區建功一路９９號１樓,03-5748909,120.994775,24.802206,1,1,1
全家,新竹金厚,新竹市東區建新路４號,03-5716882,120.996275,24.797923,0,1,0
全家,新竹鴻揚,新竹市東區研新三路３號１樓,03-5786848,120.989572,24.779594,0,0,0
全家,新竹金基,新竹市東區科研路８號（Ａ０２７６室）,03-5714316,120.990696,24.808907,0,0,0
全家,新竹新民治,新竹市東區科園里８鄰科學園路８８號１樓,03-6687741,121.010606,24.784678,0,1,1
全家,新竹品明,新竹市東區新光里食品路４０６號１樓,03-5625101,120.968255,24.793847,0,0,1
全家,新竹食品,新竹市東區食品路４７號１樓,03-5753302,120.981206,24.799972,0,0,1
全家,新竹大庄,新竹市香山區香北路８６號１樓,03-5402252,120.92735,24.791922,1,1,1
全家,新竹頎邦,新竹市東區展業一路１０號９樓﹝新竹科學園區﹞,03-6687601,121.002826,24.784496,0,0,0
全家,新竹比佛利,新竹市東區高峰路９５巷３號,03-5619493,120.9739732198,24.7923962799,0,0,0
全家,新竹翠峰,新竹市東區高峰里高翠路３７５號,03-6667396,120.98353,24.777166,0,0,1
全家,新竹瑞昱一,新竹縣寶山鄉創新二路２號５樓,03-5794895,120.995204,24.780172,0,0,0
全家,新竹金客雅,新竹市香山區景觀大道２８０號１樓,03-5287253,120.954235,24.782346,0,0,0
全家,新竹金湳雅,新竹市北區湳雅街３２１號１樓,03-5351322,120.976542,24.822825,0,0,0
全家,新竹鴻海,新竹市東區新安路５號５樓之１,03-5771006,120.99949,24.7817,0,0,0
全家,新竹自在,新竹市東區新香街２７５號一樓,03-5290142,120.961136,24.776923,0,0,0
全家,新竹新莊,新竹市東區新莊街５２號１樓,03-5794795,121.0161177398,24.7853311331,1,1,1
全家,新竹經城,新竹市北區經國路一段３３９號１樓,03-5344679,120.981353,24.814624,1,0,1
全家,新竹台大一,新竹市北區經國路一段４４２巷２５號,03-5330922,120.9799126,24.8167054,0,0,0
